Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
291,192,89,103,89,109,2023-01-14 17:35:33,2023-01-08 18:15:44,37,15,321A,321A,NILES WEST HIGH SCHOOL,Illinois,United States
389,173,50,123,50,123,2023-01-08 20:48:04,2023-01-08 18:21:06,2,2,82997A,Horsepower,MONTINI CATHOLIC HIGH SCHOOL,Illinois,United States
534,153,26,127,26,127,2023-01-08 17:02:51,2023-01-08 16:54:33,0,0,355N,Nautilus,Fox Valley Robotics,Illinois,United States
546,151,55,96,55,96,2022-12-08 01:56:34,2022-12-08 01:41:03,0,0,23880B,Delta Force,LYONS TWP HIGH SCH,Illinois,United States
557,148,62,86,62,103,2023-01-08 21:06:15,2023-01-14 20:02:28,3,0,321C,321C,NILES WEST HIGH SCHOOL,Illinois,United States
593,143,43,100,43,100,2022-12-08 01:25:47,2022-12-08 02:03:00,0,0,23880A,Baby Dog,LYONS TWP HIGH SCH,Illinois,United States
602,141,67,74,67,74,2023-01-14 14:23:20,2023-01-14 14:50:30,0,0,2360N,Nemesis,Neuqua Valley High School,Illinois,United States
618,140,40,100,40,100,2023-01-08 18:10:38,2023-01-08 18:43:57,15,0,355R,Ravens,Fox Valley Robotics,Illinois,United States
648,136,55,81,55,81,2023-01-14 14:37:06,2023-01-14 14:42:04,0,0,2360V,Vortex,Neuqua Valley High School,Illinois,United States
666,134,19,115,30,115,2022-10-29 17:41:16,2022-11-05 18:56:52,53,0,355V,Orange Mambas,Fox Valley Robotics,Illinois,United States
682,132,46,86,46,86,2023-01-19 02:05:01,2023-01-19 02:11:37,0,0,20612A,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
828,118,32,86,32,88,2023-01-14 18:36:30,2023-01-08 17:46:29,38,0,355Y,Loose Screws,Fox Valley Robotics,Illinois,United States
832,118,30,88,30,88,2022-11-19 18:22:15,2022-11-19 18:44:21,39,0,333G,333G,Niles North 333 Robotics,Illinois,United States
880,112,77,35,77,72,2023-01-14 14:30:53,2023-01-08 21:00:41,0,0,2360S,Singularity,Neuqua Valley High School,Illinois,United States
931,109,9,100,9,100,2022-11-19 18:30:58,2022-11-19 18:02:32,38,0,333R,Los Robos,Niles North 333 Robotics,Illinois,United States
960,106,78,28,78,43,2023-01-14 14:54:28,2022-11-20 20:49:42,0,0,8995H,Hades,Metea Valley High School,Illinois,United States
982,105,26,79,26,79,2022-11-20 20:31:07,2022-11-20 18:09:20,0,0,355S,Saturn,Fox Valley Robotics,Illinois,United States
1039,101,27,74,27,78,2023-01-14 20:46:17,2023-01-19 01:59:13,0,0,23880C,Disco Polo,LYONS TWP HIGH SCH,Illinois,United States
1045,100,33,67,33,67,2023-01-21 20:38:38,2023-01-21 19:35:08,0,0,60441A,Error Error,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
1087,98,22,76,22,82,2022-11-12 20:25:48,2022-11-20 18:27:27,0,0,60502Z,Imperial,,Illinois,United States
1104,96,29,67,29,67,2022-12-10 19:20:16,2022-12-10 17:43:31,0,0,41870E,RoboRams,MOUNT VERNON HIGH SCHOOL,Illinois,United States
1152,93,35,58,35,58,2023-01-19 02:31:43,2023-01-19 02:25:21,0,0,60466B,Raptors,Rich Township High School,Illinois,United States
1161,93,23,70,23,70,2023-01-14 14:55:09,2023-01-14 14:55:41,0,0,8995S,Spartans,Metea Valley High School,Illinois,United States
1208,90,31,59,31,59,2023-01-21 16:13:45,2023-01-21 20:27:13,0,0,60441D,Disaster,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
1323,85,11,74,11,74,2022-11-20 18:10:23,2022-11-20 19:40:05,0,0,7133A,RoboHawks A,NAPERVILLE CENTRAL HIGH SCHOOL,Illinois,United States
1364,83,16,67,16,67,2022-12-10 19:55:38,2022-12-10 17:15:52,0,0,41870A,Da Baby,MOUNT VERNON HIGH SCHOOL,Illinois,United States
