Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
2115,90,31,59,31,59,2023-01-21 16:13:45,2023-01-21 20:27:13,0,0,60441D,Disaster,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
2186,88,0,88,3,88,2023-01-14 15:00:52,2023-02-19 18:32:07,51,0,8995J,Outlaws,METEA VALLEY HIGH SCHOOL,Illinois,United States
2235,86,16,70,16,70,2023-02-09 01:38:03,2023-02-09 01:26:22,0,0,60466F,Raptors,Rich Township High School,Illinois,United States
2245,86,0,86,0,86,,2023-02-19 21:03:18,0,0,8780G,WVRC Theta,Waubonsie Valley High School,Illinois,United States
2304,83,16,67,16,67,2023-02-25 19:36:18,2023-02-25 20:48:44,45,0,3695C,Orion Fox C,YORKVILLE HIGH SCHOOL,Illinois,United States
2311,83,13,70,13,71,2023-02-09 01:52:45,2023-01-28 17:26:55,0,0,60466A,Raptors,Rich Township High School,Illinois,United States
2342,82,13,69,16,69,2023-02-05 18:19:54,2023-02-18 18:51:20,0,0,42460B,Resurrected Robotics,TRIAD HIGH SCHOOL,Illinois,United States
2373,81,12,69,13,69,2023-02-09 01:31:55,2023-02-19 16:19:56,0,0,6410M,Caravan Robotics,MOUNT CARMEL HIGH SCHOOL,Illinois,United States
2379,81,0,81,0,81,,2023-01-14 19:30:13,0,0,499M,Megamind,Mundelein Cons High School,Illinois,United States
2403,80,12,68,12,68,2023-01-19 02:26:11,2023-01-19 01:39:17,0,1,60466C,Raptors,Rich Township High School,Illinois,United States
2469,78,0,78,0,78,,2023-02-04 17:52:45,0,0,499A,Stromboli Again,Mundelein Cons High School,Illinois,United States
2492,77,17,60,17,60,2023-02-18 19:49:52,2023-02-18 16:11:06,0,0,41870D,Legion,MOUNT VERNON HIGH SCHOOL,Illinois,United States
2622,74,0,74,0,74,,2023-02-09 01:59:49,0,0,20612D,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
2626,74,0,74,0,74,,2023-02-19 22:08:55,0,0,8780B,WVRC Beta,Waubonsie Valley High School,Illinois,United States
2700,72,0,72,5,72,2022-11-05 19:03:49,2023-02-04 20:46:05,0,0,158A,158A,HUNTLEY HIGH SCHOOL,Illinois,United States
2767,70,16,54,16,54,2023-02-25 20:35:10,2023-02-25 18:33:06,0,10,4454A,Chaos Beings,TIMOTHY CHRISTIAN HIGH SCHOOL,Illinois,United States
2770,70,13,57,16,57,2023-02-04 20:38:54,2023-01-21 16:23:28,0,0,60441C,Lockport Robotics Team C,LOCKPORT TOWNSHIP HIGH SCH EAST,Illinois,United States
2775,70,14,56,14,56,2023-02-25 15:37:28,2023-02-25 20:11:41,34,0,4454B,Cyclops,TIMOTHY CHRISTIAN HIGH SCHOOL,Illinois,United States
2800,70,0,70,0,70,,2023-02-04 21:20:36,0,0,80075S,Steampunk Squirrels,Von Steuben Metro Science High School,Illinois,United States
2803,70,0,70,0,70,,2023-02-05 16:46:36,0,0,9691A,N.A.S.A. Out of Order,COLLINSVILLE HIGH SCHOOL,Illinois,United States
2857,68,16,52,16,52,2022-11-19 19:00:48,2022-11-19 17:17:43,58,0,23880D,TEAM FAILED TO SUBMIT NAME,LYONS TWP HIGH SCH,Illinois,United States
2929,67,6,61,6,61,2022-11-05 18:52:53,2022-11-05 18:49:56,37,0,333V,333 V,Niles North 333 Robotics,Illinois,United States
3042,65,0,65,0,65,,2022-11-19 21:49:14,0,0,333T,333T,Niles North 333 Robotics,Illinois,United States
3112,64,0,64,0,64,,2023-02-18 17:34:10,0,0,9691C,Accordi Bot,COLLINSVILLE HIGH SCHOOL,Illinois,United States
3124,63,16,47,16,52,2023-01-08 17:25:33,2023-02-04 19:36:03,0,0,158C,158C,HUNTLEY HIGH SCHOOL,Illinois,United States
3170,62,8,54,8,54,2023-01-14 14:58:26,2023-01-14 14:59:33,32,0,8995M,Meta,Metea Valley High School,Illinois,United States
3180,62,0,62,0,62,,2022-11-20 18:39:08,0,0,17990E,Ethereal,Private,Illinois,United States
3195,62,0,62,0,62,,2023-02-04 19:06:31,0,0,499H,Hand-Tightened,Mundelein Cons High School,Illinois,United States
3201,62,0,62,0,62,,2023-02-09 02:01:52,0,0,20612C,Blazin' Bots,BLOOM TRAIL HIGH SCHOOL,Illinois,United States
3325,59,0,59,0,59,,2022-11-19 17:27:41,0,0,80075T,Spare 0's,VON STEUBEN METRO SCIENCE HIGH SCHOOL,Illinois,United States
3372,58,0,58,6,58,2023-02-19 22:04:14,2022-11-19 21:09:17,0,0,60172U,Spring Rolls,Lake Park High School,Illinois,United States
3463,57,0,57,0,57,,2023-02-19 21:17:45,0,0,60172X,The Boubotic Plague,Lake Park High School,Illinois,United States
3519,55,6,49,6,49,2023-02-25 17:48:19,2023-02-25 18:20:06,57,0,1526C,Hexadecimators,BARTLETT HIGH SCHOOL,Illinois,United States
3572,55,0,55,0,55,,2023-02-19 21:48:03,0,0,60172T,T-TEAM,Lake Park High School,Illinois,United States
3577,54,0,54,14,54,2023-01-08 19:51:05,2023-02-04 21:19:54,0,0,862A,Jaguar Robotics,KING COLLEGE PREP HIGH SCHOOL,Illinois,United States
3579,54,13,41,13,53,2022-11-20 19:29:38,2023-02-25 21:23:30,0,0,355X,Hexaforce,Fox Valley Robotics,Illinois,United States
3605,54,0,54,0,54,,2023-01-08 18:03:34,0,0,1526A,Hexadecimators,BARTLETT HIGH SCHOOL,Illinois,United States
3621,54,0,54,0,54,,2023-01-28 19:26:29,0,0,60466D,Raptors,Rich Township High School,Illinois,United States
3639,54,0,54,0,54,,2023-02-19 21:25:44,0,0,8780D,WVRC Delta,Waubonsie Valley High School,Illinois,United States
3755,52,0,52,0,52,,2023-01-14 14:25:23,0,0,8780F,WVRC Zeta,Waubonsie Valley High School,Illinois,United States
3804,52,0,52,0,52,,2023-02-18 18:40:22,0,0,9691D,Deanna,COLLINSVILLE HIGH SCHOOL,Illinois,United States
